gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Gm8050	13.21223620055567	-0.569581145956146	0.9611411968859124	0.5926092314028188	0.5534426996604429	0.7081906415910715
Gm807	35.04990570713329	0.12879658883919778	0.5994607236399928	-0.2148540909521652	0.829881079052255	0.9084214333186709
Gm8079	3.554325452265177	-1.5054484143491975	1.8383609725019636	0.8189079494547361	0.41283893409263167	0.5787234012218377
Gm8098	54.026753094267846	-0.46524465645466817	0.4817536583797018	0.9657314446130852	0.3341785806451703	0.49543160073038467
Gm8108	283.699329203907	0.9108605715507286	0.2906964844750524	-3.133373192302567	0.0017280957060045537	0.004959960732026655
Gm8113	95.14160138018667	-1.4862985330469436	0.39099895013021096	3.8012852273694713	1.4394748123210913e-4	4.916761910595572e-4
Gm8116	222.36599213497382	-0.25454829971920423	0.24016394485515224	1.0598938981982806	0.28919287191791676	0.443039192677988
Gm8121	49.926352402873924	-0.10310803521198747	0.5166263538388844	0.1995795112770086	0.8418094530266514	0.9160513212107699
Gm8146	61.99510036038003	-0.2568746111140219	0.4636978815128386	0.553969775052573	0.5795995311043878	0.7291520024734319
Gm8159	18.998665811826033	0.49720930351374676	0.8214302751132747	-0.6052970271216044	0.5449816563816225	0.7013757154718478
Gm8172	4.697627727795213	-0.33093685851452814	1.6931758605433584	0.19545332899343776	0.8450380710542573	0.9175126432419747
Gm8177	29.512453481070946	0.7045916567856875	0.6616728152295466	-1.0648641451912326	0.2869374124157688	0.4401512501682675
Gm8178	3.0934608180867347	-2.516259087388292	2.203988900171305	1.1416841015817802	0.2535853515830001	0.3995629317493161
Gm8181	5.6349549055917825	-0.5326527077843539	1.5820255669329446	0.33669032847364266	0.7363503548966511	0.8472529346702058
Gm8186	352.75771715317796	0.10161884293787625	0.19488084557286045	-0.521440897073098	0.6020596679020873	0.7479038730749455
Gm8199	40.25690373171633	-0.16670315070778957	0.5587671289120713	0.29834101199253316	0.7654429056191272	0.8668225252058448
Gm8203	11.070817906122961	-0.10742751997734797	1.043734804282821	0.10292606851523399	0.9180216478904247	0.955773901612523
Gm8206	125.87656407449612	0.12772131351636262	0.3541989954611738	-0.3605919699181164	0.7184044930960267	0.834870876934023
Gm8210	1825.8105114551563	-0.27599799089391525	0.8184058280441192	0.33723854527467584	0.7359370824918074	0.8468286610336894
Gm8213	6.809945891181788	0.4576322596858991	1.3216330401003717	-0.34626272633978955	0.729145278014743	0.8426338556855683
Gm8220	3.539099477864546	-0.2519240609725686	2.0791819200204356	0.12116499212829462	0.9035603520142549	0.9500680950827991
Gm8226	73.38052221330719	-0.5815201250646369	0.41214203612073314	1.4109701852743943	0.1582534053994701	0.2733389502834884
Gm8228	10.818871165581895	-0.4308477496726397	1.1233426004814144	0.38354082671483986	0.7013188049661747	0.8220673823469247
Gm8229	58.390368421274175	0.40840904493762886	0.46752308430311684	-0.8735591003947911	0.3823584077542954	0.5469910739163951
Gm8237	37.04033926464658	0.3930836412146026	0.5905462797155483	-0.6656271569502417	0.5056494437647894	0.6677958170014912
Gm8242	7.429966872215426	4.908631680769461	1.913178313694089	-2.5656948156032335	0.010296938011273802	0.025296676522528597
Gm8247	151.72865631174997	-0.006033555698593098	0.28870240875923336	0.02089887550479307	0.983326323646229	0.9887190628205202
Gm8251	4.883301526327841	2.0465136614996227	1.7765781182778388	-1.1519412743209125	0.24934520602379584	0.3939875861269676
Gm8258	5.631080886538725	0.9555469258352215	1.4851457898823095	-0.6434027772525578	0.5199627818156098	0.6803201194676819
Gm8267	3.010298626954259	3.5317379768712764	2.4156256980980295	-1.462038584724459	0.14373063675267345	0.25268473168011146
Gm8276	234.0368204653116	-0.2941108484868281	0.23851862458495138	1.2330728847636672	0.2175485728240265	0.35438071723197667
Gm8279	9.740767401313413	-6.837752355151386	4.790071195112488	1.4274844937854438	0.15344029157735561	0.2663806394908625
Gm8281	472.6641007970424	0.2053459752404223	0.1864682115252139	-1.1012385090241281	0.27079286567025185	0.4209553908371353
Gm830	4.215146817723875	0.6160025799553098	1.9017819964962246	-0.32390809308859325	0.7460076166382308	0.8537667667996364
Gm8325	201.84254634500633	0.0025708224731208506	0.2716197655641142	-0.009464784227987353	0.9924483075427892	0.9948096075797789
Gm8337	4.020439560259504	-1.741553057450269	1.8260591428181583	0.953722153140412	0.3402243034546873	0.5023189013270346
Gm8349	10.859160921463781	-0.8221504197355163	1.0874663448083968	0.756023782860492	0.4496349365830804	0.6148729463593868
Gm8355	20.591620996560984	-0.9745551510695503	0.7900851221709703	1.233481208191466	0.21739628351054968	0.3541933279884416
Gm8356	4.653463952860271	3.1319231742397817	1.9115961390604812	-1.6383811989592487	0.10134219864333566	0.18844560454413725
Gm8394	15.628508851106696	-1.2513022231879778	0.9048859689537242	1.3828286282688171	0.1667174186575024	0.28546886229377827
Gm8399	74.40515568388729	-0.787015803107093	0.41247333620084015	1.9080404332460459	0.05638599056814443	0.11368673636446466
Gm8407	6.81064248724449	-0.3515122544294576	1.4067049182090634	0.2498834331772885	0.8026774952950948	0.8902252885993717
Gm8420	98.31529192993816	-0.5010665859134308	0.36116709438074107	1.3873539248434636	0.16533386732181196	0.28340606572832006
Gm8430	7.474316614669896	1.0864261949172194	1.2917875088229254	-0.8410254685828082	0.40033366664639786	0.5657632605931814
Gm8464	4.67429951761199	0.5441175560771568	1.8226208941099167	-0.29853578318758306	0.7652942694624333	0.8668225252058448
Gm8488	19.81788645000645	1.8499389982806116	0.8166052728399993	-2.2654017305654572	0.023488038242144682	0.05296786612599396
Gm8492	4.482096724082975	-0.20066326830993414	1.6271890199124917	0.12331896654558644	0.9018545223346218	0.9492806214866166
Gm8494	214.2749767067283	-0.4380120890307803	0.2755131790140666	1.589804489927566	0.11187888150431304	0.20534526368769423
Gm8520	6.854530260722706	-0.7481841857396708	1.400712546698814	0.5341454158478013	0.5932409303350945	0.7404802606224118
Gm8545	10.061710048407917	0.28431643084824876	1.1858051080823615	-0.23976657623615263	0.8105112195301079	0.8956744836034753
Gm8546	26.861486378059535	-0.1987445250527826	0.6788348034350472	0.29277303409768235	0.769695641210741	0.8695201174918156
Gm8566	16.777493013562445	-0.7516318903727014	0.8560233771953981	0.8780506588912138	0.3799162277047539	0.5442298530816555
Gm8577	10.114468950306053	0.15551189110961694	1.0909903266992809	-0.14254195230136266	0.8866519445135121	0.9414086060039328
